Control ID,User-visible name,Keyboard shortcut,Required selection/context,Enabled condition,Input parameters,Engine method called,Semantic score mutation,Undo/redo transaction,Layout invalidation,Playback impact,Save/reopen behaviour,Staff/Tonic Sol-fa synchronization,Part synchronization,Import/export implication,Success/failure feedback,Automated test,Manual verification evidence,Build 42 status
keypad-duration-1,Whole,1,Active score,Active score and staff workspace,denominator=1,engine.setDuration,Changes pending note-entry duration,Not a score mutation,Keypad active state and caret context refresh,Uses authoritative score events,Persists through .airscore score serialization,Same authoritative note/rest event,Mutates active part only; linked-part expansion remains scheduled,Authoritative event is available to MusicXML/MIDI/PDF pathways,Active note value highlighted,v122-build42-staff-input.test.js; browser-smoke keypad state,Linux Chromium browser interaction; human Windows verification pending,VERIFIED FUNCTIONAL
keypad-duration-2,Half,2,Active score,Active score and staff workspace,denominator=2,engine.setDuration,Changes pending note-entry duration,Not a score mutation,Keypad active state and caret context refresh,Uses authoritative score events,Persists through .airscore score serialization,Same authoritative note/rest event,Mutates active part only; linked-part expansion remains scheduled,Authoritative event is available to MusicXML/MIDI/PDF pathways,Active note value highlighted,v122-build42-staff-input.test.js; browser-smoke keypad state,Linux Chromium browser interaction; human Windows verification pending,VERIFIED FUNCTIONAL
keypad-duration-4,Quarter,3,Active score,Active score and staff workspace,denominator=4,engine.setDuration,Changes pending note-entry duration,Not a score mutation,Keypad active state and caret context refresh,Uses authoritative score events,Persists through .airscore score serialization,Same authoritative note/rest event,Mutates active part only; linked-part expansion remains scheduled,Authoritative event is available to MusicXML/MIDI/PDF pathways,Active note value highlighted,v122-build42-staff-input.test.js; browser-smoke keypad state,Linux Chromium browser interaction; human Windows verification pending,VERIFIED FUNCTIONAL
keypad-duration-8,Eighth,4,Active score,Active score and staff workspace,denominator=8,engine.setDuration,Changes pending note-entry duration,Not a score mutation,Keypad active state and caret context refresh,Uses authoritative score events,Persists through .airscore score serialization,Same authoritative note/rest event,Mutates active part only; linked-part expansion remains scheduled,Authoritative event is available to MusicXML/MIDI/PDF pathways,Active note value highlighted,v122-build42-staff-input.test.js; browser-smoke keypad state,Linux Chromium browser interaction; human Windows verification pending,VERIFIED FUNCTIONAL
keypad-duration-16,Sixteenth,5,Active score,Active score and staff workspace,denominator=16,engine.setDuration,Changes pending note-entry duration,Not a score mutation,Keypad active state and caret context refresh,Uses authoritative score events,Persists through .airscore score serialization,Same authoritative note/rest event,Mutates active part only; linked-part expansion remains scheduled,Authoritative event is available to MusicXML/MIDI/PDF pathways,Active note value highlighted,v122-build42-staff-input.test.js; browser-smoke keypad state,Linux Chromium browser interaction; human Windows verification pending,VERIFIED FUNCTIONAL
keypad-duration-32,Thirty-second,6,Active score,Active score and staff workspace,denominator=32,engine.setDuration,Changes pending note-entry duration,Not a score mutation,Keypad active state and caret context refresh,Uses authoritative score events,Persists through .airscore score serialization,Same authoritative note/rest event,Mutates active part only; linked-part expansion remains scheduled,Authoritative event is available to MusicXML/MIDI/PDF pathways,Active note value highlighted,v122-build42-staff-input.test.js; browser-smoke keypad state,Linux Chromium browser interaction; human Windows verification pending,VERIFIED FUNCTIONAL
keypad-duration-64,Sixty-fourth,7,Active score,Active score and staff workspace,denominator=64,engine.setDuration,Changes pending note-entry duration,Not a score mutation,Keypad active state and caret context refresh,Uses authoritative score events,Persists through .airscore score serialization,Same authoritative note/rest event,Mutates active part only; linked-part expansion remains scheduled,Authoritative event is available to MusicXML/MIDI/PDF pathways,Active note value highlighted,v122-build42-staff-input.test.js; browser-smoke keypad state,Linux Chromium browser interaction; human Windows verification pending,VERIFIED FUNCTIONAL
keypad-dot,Dot,.,Selection optional,Active score and staff workspace,toggle pending or selected value,engine.toggleDot,Pending value or selected event duration/augmentationDots,One transaction when selection exists,Re-renders affected staff system,Uses authoritative score events,Persists through .airscore score serialization,Same authoritative note/rest event,Mutates active part only; linked-part expansion remains scheduled,Authoritative event is available to MusicXML/MIDI/PDF pathways,Conflict shown as recoverable guidance without persistent failure banner,v122-build42-staff-input.test.js; browser-smoke recovery check,Linux Chromium browser interaction; human Windows verification pending,VERIFIED FUNCTIONAL
keypad-rest,Rest,R,Active score and caret,Active score and staff workspace,active duration/voice/staff/cursor,engine.addRest,"Adds semantic rest, splitting at barline when required",One transaction for all generated segments,Re-renders and advances caret,Uses authoritative score events,Persists through .airscore score serialization,Same authoritative note/rest event,Mutates active part only; linked-part expansion remains scheduled,Authoritative event is available to MusicXML/MIDI/PDF pathways,Status reports next bar and beat,v122-build42-staff-input.test.js; browser-smoke rest check,Linux Chromium browser interaction; human Windows verification pending,VERIFIED FUNCTIONAL
keypad-chord,Chord,Shift+A–G,Last entered note or selected note,Active score and staff workspace,chord mode boolean,engine.addChordTone,Adds simultaneous semantic chord tone; rejects duplicates,One transaction for generated chord segments,Re-renders same onset,Uses authoritative score events,Persists through .airscore score serialization,Same authoritative note/rest event,Mutates active part only; linked-part expansion remains scheduled,Authoritative event is available to MusicXML/MIDI/PDF pathways,Context guidance for missing anchor or duplicate pitch,v122-build42-staff-input.test.js; browser-smoke chord check,Linux Chromium browser interaction; human Windows verification pending,VERIFIED FUNCTIONAL
keypad-pitch-C,C,C,Active score and caret,Active score and staff workspace,pitch=C+octave,engine.addNote / engine.addChordTone,Adds note or chord tone at caret/anchor,One transaction including safe continuation ties,Re-renders and advances or preserves chord onset,Uses authoritative score events,Persists through .airscore score serialization,Same authoritative note/rest event,Mutates active part only; linked-part expansion remains scheduled,Authoritative event is available to MusicXML/MIDI/PDF pathways,Status reports entered pitch and next position,v122-build42-staff-input.test.js; browser-smoke tied-entry check,Linux Chromium browser interaction; human Windows verification pending,VERIFIED FUNCTIONAL
keypad-pitch-D,D,D,Active score and caret,Active score and staff workspace,pitch=D+octave,engine.addNote / engine.addChordTone,Adds note or chord tone at caret/anchor,One transaction including safe continuation ties,Re-renders and advances or preserves chord onset,Uses authoritative score events,Persists through .airscore score serialization,Same authoritative note/rest event,Mutates active part only; linked-part expansion remains scheduled,Authoritative event is available to MusicXML/MIDI/PDF pathways,Status reports entered pitch and next position,v122-build42-staff-input.test.js; browser-smoke tied-entry check,Linux Chromium browser interaction; human Windows verification pending,VERIFIED FUNCTIONAL
keypad-pitch-E,E,E,Active score and caret,Active score and staff workspace,pitch=E+octave,engine.addNote / engine.addChordTone,Adds note or chord tone at caret/anchor,One transaction including safe continuation ties,Re-renders and advances or preserves chord onset,Uses authoritative score events,Persists through .airscore score serialization,Same authoritative note/rest event,Mutates active part only; linked-part expansion remains scheduled,Authoritative event is available to MusicXML/MIDI/PDF pathways,Status reports entered pitch and next position,v122-build42-staff-input.test.js; browser-smoke tied-entry check,Linux Chromium browser interaction; human Windows verification pending,VERIFIED FUNCTIONAL
keypad-pitch-F,F,F,Active score and caret,Active score and staff workspace,pitch=F+octave,engine.addNote / engine.addChordTone,Adds note or chord tone at caret/anchor,One transaction including safe continuation ties,Re-renders and advances or preserves chord onset,Uses authoritative score events,Persists through .airscore score serialization,Same authoritative note/rest event,Mutates active part only; linked-part expansion remains scheduled,Authoritative event is available to MusicXML/MIDI/PDF pathways,Status reports entered pitch and next position,v122-build42-staff-input.test.js; browser-smoke tied-entry check,Linux Chromium browser interaction; human Windows verification pending,VERIFIED FUNCTIONAL
keypad-pitch-G,G,G,Active score and caret,Active score and staff workspace,pitch=G+octave,engine.addNote / engine.addChordTone,Adds note or chord tone at caret/anchor,One transaction including safe continuation ties,Re-renders and advances or preserves chord onset,Uses authoritative score events,Persists through .airscore score serialization,Same authoritative note/rest event,Mutates active part only; linked-part expansion remains scheduled,Authoritative event is available to MusicXML/MIDI/PDF pathways,Status reports entered pitch and next position,v122-build42-staff-input.test.js; browser-smoke tied-entry check,Linux Chromium browser interaction; human Windows verification pending,VERIFIED FUNCTIONAL
keypad-pitch-A,A,A,Active score and caret,Active score and staff workspace,pitch=A+octave,engine.addNote / engine.addChordTone,Adds note or chord tone at caret/anchor,One transaction including safe continuation ties,Re-renders and advances or preserves chord onset,Uses authoritative score events,Persists through .airscore score serialization,Same authoritative note/rest event,Mutates active part only; linked-part expansion remains scheduled,Authoritative event is available to MusicXML/MIDI/PDF pathways,Status reports entered pitch and next position,v122-build42-staff-input.test.js; browser-smoke tied-entry check,Linux Chromium browser interaction; human Windows verification pending,VERIFIED FUNCTIONAL
keypad-pitch-B,B,B,Active score and caret,Active score and staff workspace,pitch=B+octave,engine.addNote / engine.addChordTone,Adds note or chord tone at caret/anchor,One transaction including safe continuation ties,Re-renders and advances or preserves chord onset,Uses authoritative score events,Persists through .airscore score serialization,Same authoritative note/rest event,Mutates active part only; linked-part expansion remains scheduled,Authoritative event is available to MusicXML/MIDI/PDF pathways,Status reports entered pitch and next position,v122-build42-staff-input.test.js; browser-smoke tied-entry check,Linux Chromium browser interaction; human Windows verification pending,VERIFIED FUNCTIONAL
keypad-octave,Octave selector,+ / −,Active score,Active score and staff workspace,octave 2–6,renderer note-input state,Changes pending pitch octave,Not a score mutation,Keypad state refresh,Uses authoritative score events,Persists through .airscore score serialization,Same authoritative note/rest event,Mutates active part only; linked-part expansion remains scheduled,Authoritative event is available to MusicXML/MIDI/PDF pathways,Selected octave remains visible,v122-build42-staff-input.test.js,Linux Chromium browser interaction; human Windows verification pending,VERIFIED FUNCTIONAL
keypad-voice-1,Voice 1,Alt+1,Active score,Active score and staff workspace,voice=1,engine.setActiveVoice,Changes active input voice; does not rewrite existing events,Not a score mutation,Voice colour/caret context refresh,Uses authoritative score events,Persists through .airscore score serialization,Same authoritative note/rest event,Mutates active part only; linked-part expansion remains scheduled,Authoritative event is available to MusicXML/MIDI/PDF pathways,Active voice highlighted,v122-build42-staff-input.test.js; browser-smoke active voice check,Linux Chromium browser interaction; human Windows verification pending,VERIFIED FUNCTIONAL
keypad-voice-2,Voice 2,Alt+2,Active score,Active score and staff workspace,voice=2,engine.setActiveVoice,Changes active input voice; does not rewrite existing events,Not a score mutation,Voice colour/caret context refresh,Uses authoritative score events,Persists through .airscore score serialization,Same authoritative note/rest event,Mutates active part only; linked-part expansion remains scheduled,Authoritative event is available to MusicXML/MIDI/PDF pathways,Active voice highlighted,v122-build42-staff-input.test.js; browser-smoke active voice check,Linux Chromium browser interaction; human Windows verification pending,VERIFIED FUNCTIONAL
keypad-voice-3,Voice 3,Alt+3,Active score,Active score and staff workspace,voice=3,engine.setActiveVoice,Changes active input voice; does not rewrite existing events,Not a score mutation,Voice colour/caret context refresh,Uses authoritative score events,Persists through .airscore score serialization,Same authoritative note/rest event,Mutates active part only; linked-part expansion remains scheduled,Authoritative event is available to MusicXML/MIDI/PDF pathways,Active voice highlighted,v122-build42-staff-input.test.js; browser-smoke active voice check,Linux Chromium browser interaction; human Windows verification pending,VERIFIED FUNCTIONAL
keypad-voice-4,Voice 4,Alt+4,Active score,Active score and staff workspace,voice=4,engine.setActiveVoice,Changes active input voice; does not rewrite existing events,Not a score mutation,Voice colour/caret context refresh,Uses authoritative score events,Persists through .airscore score serialization,Same authoritative note/rest event,Mutates active part only; linked-part expansion remains scheduled,Authoritative event is available to MusicXML/MIDI/PDF pathways,Active voice highlighted,v122-build42-staff-input.test.js; browser-smoke active voice check,Linux Chromium browser interaction; human Windows verification pending,VERIFIED FUNCTIONAL
keypad-collapse,Collapse/expand,,Notation keypad mounted,Active score and staff workspace,collapsed boolean,renderer keypad state,No score mutation,Not applicable,Recomputes workspace viewport,Uses authoritative score events,Persists through .airscore score serialization,Same authoritative note/rest event,Mutates active part only; linked-part expansion remains scheduled,Authoritative event is available to MusicXML/MIDI/PDF pathways,Expanded state exposed with aria-expanded,browser-smoke visible keypad/caret checks,Linux Chromium browser interaction; human Windows verification pending,VERIFIED FUNCTIONAL
