Control ID,User-visible name,Command ID,Keyboard shortcut,Panel,Group,Required selection/context,Build 40 enabled condition,Input parameters,Engine/desktop method,Semantic score mutation,Undo/redo transaction,Layout invalidation,Playback impact,Save/reopen behaviour,Staff/Sol-fa synchronization,Part synchronization,Import/export implication,Success/failure feedback,Automated test evidence,Manual verification evidence,Build 40 status,Build 41 production visibility,Scheduled corrective build,Evidence/reason,Build 42 status,Build 42 production visibility,Build 42 enabled condition,Build 42 automated evidence,Build 42 manual/visual evidence,Build 43 status,Build 43 production visibility,Build 43 enabled condition,Build 43 automated evidence,Build 43 manual/visual evidence,Build 50 status,Build 50 production visibility,Build 50 execution path,Build 50 automated evidence,Build 50 release evidence,Current status,Production visibility,Execution path,Automated evidence,Release evidence
data-command:accent,Accent,accent,,notation,ARTICULATIONS AND EXPRESSION,selected-note,Always enabled in markup; no central command-context contract,None,"engine.setArticulation('accent', true)",Adds a persistent accent articulation to selected notes,One Composer engine commit; tested undo/redo where applicable,Score mutation triggers staff/page rerender,Must remain synchronized where semantic music changes,Persisted in .airscore; MusicXML verified where applicable,Uses authoritative score events; no parallel UI-only model,Active-part operation or shared score; linked-part proof incomplete,Serialized to .airscore and MusicXML where supported,Context-gated; recoverable musical errors leave score unchanged,engine-method references in tests: 2,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,43,"Build 43 connects this control to the authoritative score model with undo, persistence, staff rendering and automated regression evidence; Windows/manual usability evidence remains required.",PARTIALLY FUNCTIONAL,HIDDEN,selection,engine-method references in tests: 2,No new human Windows verification in Build 42,VERIFIED FUNCTIONAL,VISIBLE,selected-note,test/v123-build43-rhythmic-notation.test.js; existing notation tests,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('accent'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('accent'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:addChordSymbol,Add symbol,addChordSymbol,,notation,HARMONY AND CHORDS,selection,Always enabled in markup; no central command-context contract,chordSymbolInput,engine.addChordSymbol,Engine operation: addChordSymbol,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,static wiring only,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,43,"A renderer or engine path exists, but complete staff interaction, context gating, visual proof, persistence, and real-user evidence are incomplete.",PARTIALLY FUNCTIONAL,HIDDEN,selection,static wiring only,No new human Windows verification in Build 42,PARTIALLY FUNCTIONAL,HIDDEN,selection,static wiring only,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('addChordSymbol'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('addChordSymbol'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:addChordTone,Add chord tone,addChordTone,,notation,NOTE ENTRY,note-entry-anchor,Always enabled in markup; no central command-context contract,None,engine.addChordTone,Add simultaneous note to chord,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Should update shared score; user-facing proof incomplete,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,engine-method references in tests: 6,User recording confirms failure,BROKEN,HIDDEN,42,"Chord tones use the selected note or last note-entry anchor, preserve the onset and duration, reject duplicates, and continue safely across barlines.",VERIFIED FUNCTIONAL,VISIBLE,note-entry-anchor,test/v122-build42-staff-input.test.js; browser-smoke Build 42 keypad checks,Rendered Build 42 staff screenshot and browser interaction report; human Windows verification pending,VERIFIED FUNCTIONAL,VISIBLE,note-entry-anchor,test/v122-build42-staff-input.test.js; browser-smoke Build 42 keypad checks,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('addChordTone'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('addChordTone'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:addFifth,Add fifth,addFifth,,notation,NOTE ENTRY,selected-note,Always enabled in markup; no central command-context contract,None,engine.addIntervalToChord,Add chord interval,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Should update shared score; user-facing proof incomplete,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,engine-method references in tests: 2,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,42,"Adds a real fifth to the selected semantic chord and preserves selection, save, playback, and undo behavior.",VERIFIED FUNCTIONAL,VISIBLE,selected-note,test/v122-build42-staff-input.test.js; browser-smoke Build 42 keypad checks,Rendered Build 42 staff screenshot and browser interaction report; human Windows verification pending,VERIFIED FUNCTIONAL,VISIBLE,selected-note,test/v122-build42-staff-input.test.js; browser-smoke Build 42 keypad checks,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('addFifth'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('addFifth'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:addNote,Add note,addNote,,notation,NOTE ENTRY,active-part,Always enabled in markup; no central command-context contract,None,engine.addNote,Add note event,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Should update shared score; user-facing proof incomplete,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,browser-smoke command; engine-method references in tests: 162,User recording confirms failure,BROKEN,HIDDEN,42,"Direct staff, keypad, and computer-keyboard pitch entry uses the authoritative score model, one undo transaction, visible caret advancement, and automatic tied continuation across barlines.",VERIFIED FUNCTIONAL,VISIBLE,active-part,test/v122-build42-staff-input.test.js; browser-smoke Build 42 keypad checks,Rendered Build 42 staff screenshot and browser interaction report; human Windows verification pending,VERIFIED FUNCTIONAL,VISIBLE,active-part,test/v122-build42-staff-input.test.js; browser-smoke Build 42 keypad checks,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('addNote'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('addNote'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:addPageText,Add page text,addPageText,,publish,LAYOUT AND PAGES,score,Always enabled in markup; no central command-context contract,pageTextPage; pageTextValue,engine.addAnnotation; engine.setAnnotationLayout,Add page-scoped annotation,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Not applicable or covered by existing engine path,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,browser-smoke command; engine-method references in tests: 15,No complete manual staff-workflow proof in current environment,VERIFIED FUNCTIONAL,VISIBLE,41,Direct renderer or engine path has automated evidence; final Windows/manual usability evidence is still required.,VERIFIED FUNCTIONAL,VISIBLE,score,browser-smoke command; engine-method references in tests: 15,No new human Windows verification in Build 42,VERIFIED FUNCTIONAL,VISIBLE,score,browser-smoke command; engine-method references in tests: 15,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('addPageText'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('addPageText'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:addPart,Add part,addPart,,compose,STAFF AND INSTRUMENTS,score,Always enabled in markup; no central command-context contract,clefSelect; instrumentSelect,engine.addPart,Engine operation: addPart,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,static wiring only,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,47,"A renderer or engine path exists, but complete staff interaction, context gating, visual proof, persistence, and real-user evidence are incomplete.",PARTIALLY FUNCTIONAL,HIDDEN,score,static wiring only,No new human Windows verification in Build 42,PARTIALLY FUNCTIONAL,HIDDEN,score,static wiring only,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('addPart'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('addPart'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:addRest,Add rest,addRest,,notation,NOTE ENTRY,active-part,Always enabled in markup; no central command-context contract,None,engine.addRest,Add rest event,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Should update shared score; user-facing proof incomplete,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,engine-method references in tests: 1,User recording confirms failure,BROKEN,HIDDEN,42,"Rest entry uses the active caret and duration, splits safely at barlines, advances predictably, and remains undoable.",VERIFIED FUNCTIONAL,VISIBLE,active-part,test/v122-build42-staff-input.test.js; browser-smoke Build 42 keypad checks,Rendered Build 42 staff screenshot and browser interaction report; human Windows verification pending,VERIFIED FUNCTIONAL,VISIBLE,active-part,test/v122-build42-staff-input.test.js; browser-smoke Build 42 keypad checks,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('addRest'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('addRest'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:addTextAnnotation,Add text,addTextAnnotation,,notation,LYRICS AND TEXT,selection,Always enabled in markup; no central command-context contract,annotationText; annotationType; tempo,engine.addAnnotation,Engine operation: addAnnotation,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,engine-method references in tests: 13,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,44,"A renderer or engine path exists, but complete staff interaction, context gating, visual proof, persistence, and real-user evidence are incomplete.",PARTIALLY FUNCTIONAL,HIDDEN,selection,engine-method references in tests: 13,No new human Windows verification in Build 42,PARTIALLY FUNCTIONAL,HIDDEN,selection,engine-method references in tests: 13,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('addTextAnnotation'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('addTextAnnotation'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
data-command:addThird,Add third,addThird,,notation,NOTE ENTRY,selected-note,Always enabled in markup; no central command-context contract,None,engine.addIntervalToChord,Add chord interval,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Should update shared score; user-facing proof incomplete,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,engine-method references in tests: 2,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,42,"Adds a real third to the selected semantic chord and preserves selection, save, playback, and undo behavior.",VERIFIED FUNCTIONAL,VISIBLE,selected-note,test/v122-build42-staff-input.test.js; browser-smoke Build 42 keypad checks,Rendered Build 42 staff screenshot and browser interaction report; human Windows verification pending,VERIFIED FUNCTIONAL,VISIBLE,selected-note,test/v122-build42-staff-input.test.js; browser-smoke Build 42 keypad checks,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('addThird'),test/build50-functional-release-candidate.test.js; validation/browser-smoke.json; scripts/build50-control-audit.js,"Source, engine mutation, context gating and browser control wiring verified; hardware/manual boundary recorded separately",VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('addThird'),test/build60-*.test.js; validation/browser-smoke.json; scripts/release-control-audit.js,"Source, semantic mutation, context gating and browser control wiring verified; external hardware evidence is recorded separately"
